Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
-10.517,0.5494546,-3.095033,9.461926,-0.7944672,-2.379979,-8.065966,-0.000170755,0,8.967669,-2.62866,-37.98378,9.853789,1.237125,-4.63971,-8.174619,-0.004446453,0.05595291,9.339615,-8.345064,-1.769899,2.503428,0.251269,-2.055761,-12.00893,-1.568416,15.64185,-4.131806,-1.646394,6.500278,4.489212,-3.414336,-0.01978234,-1.906905,-17.88553,-3.408352,-4.343342,1.659381,0.3566318,21.64211,-2.467843,-6.73962,-4.332959,-2.740312,8.229381,4.545968,-2.247091,-1.566231,7.354981,-18.98168,1.245055
-10.48794,0.5414906,-3.075426,9.47486,-0.7986472,-2.367777,-8.143482,-0.000150264,0,8.998377,-2.637641,-37.97977,9.864281,1.235813,-4.665687,-8.240047,-0.004501095,0.05595291,9.361727,-8.358472,-1.762475,2.516451,0.2430318,-2.043156,-12.01421,-1.563116,15.63832,-4.13138,-1.646513,6.439878,4.422263,-3.380343,0.03426402,-1.92925,-17.81642,-3.400703,-4.53855,1.72491,0.3620769,21.63245,-2.470172,-6.730418,-4.32196,-2.762509,8.212544,4.536478,-2.21057,-1.561225,7.329915,-18.80485,1.235431
-10.47317,0.5381779,-3.06848,9.473345,-0.8004913,-2.365544,-8.169382,-0.000170755,0,9.007673,-2.640818,-37.97861,9.86125,1.235848,-4.676297,-8.260872,-0.004569396,0.05595291,9.369302,-8.363847,-1.757917,2.521346,0.2384419,-2.03442,-12.0098,-1.554517,15.63445,-4.131285,-1.648533,6.431873,4.396321,-3.360678,0.05934703,-1.953144,-17.78493,-3.399494,-4.608787,1.755488,0.3566318,21.63187,-2.470862,-6.724092,-4.322686,-2.766969,8.200523,4.539111,-2.200673,-1.553812,7.326515,-18.59682,1.229715
-10.44393,0.5318395,-3.059471,9.46662,-0.8041523,-2.362563,-8.21769,-0.000163925,0,9.029002,-2.648549,-37.98013,9.853969,1.235745,-4.70303,-8.306454,-0.004630868,0.05934703,9.393877,-8.378723,-1.738776,2.522821,0.2326499,-2.024487,-12.00875,-1.536232,15.61656,-4.121222,-1.644015,6.444502,4.350327,-3.331336,0.09487279,-1.962241,-17.7401,-3.397881,-4.68939,1.795179,0.3363003,21.62218,-2.473348,-6.703731,-4.316746,-2.774811,8.19915,4.538291,-2.19637,-1.540277,7.320192,-18.61996,1.232418
-10.41994,0.5241145,-3.053707,9.445333,-0.8089198,-2.356757,-8.229247,-0.000170755,0,9.03705,-2.647873,-37.98791,9.839951,1.240219,-4.708441,-8.331615,-0.004753812,0.05934703,9.410872,-8.389057,-1.740238,2.530103,0.2269877,-2.014797,-12.00929,-1.529443,15.61697,-4.132328,-1.632788,6.468633,4.329929,-3.312416,0.1398823,-2.029315,-17.71191,-3.402142,-4.728121,1.79912,0.3058279,21.61717,-2.477392,-6.69858,-4.321734,-2.792671,8.227291,4.53138,-2.186105,-1.55293,7.33631,-18.65003,1.238753
-10.41376,0.5235818,-3.055053,9.442961,-0.8094935,-2.359081,-8.239858,-0.000129774,0,9.043137,-2.650202,-37.99186,9.834314,1.240458,-4.7126,-8.336846,-0.004760642,0.05934703,9.41676,-8.391898,-1.735622,2.536593,0.2242283,-2.014894,-12.01132,-1.527633,15.62176,-4.143591,-1.626182,6.468449,4.325539,-3.306187,0.174713,-2.096765,-17.72894,-3.410362,-4.739625,1.794878,0.2947506,21.6132,-2.480049,-6.702181,-4.331919,-2.803026,8.249072,4.531899,-2.178851,-1.566605,7.361647,-18.69379,1.242223
-10.40635,0.5271335,-3.061454,9.445292,-0.8059692,-2.365296,-8.264864,-0.000143434,0,9.053451,-2.655905,-38.00176,9.82247,1.237077,-4.713971,-8.337175,-0.004794793,0.05595291,9.424981,-8.394814,-1.727824,2.55428,0.2216396,-2.026806,-12.01703,-1.52458,15.63437,-4.165182,-1.611434,6.453272,4.312979,-3.299084,0.2414744,-1.99233,-17.70433,-3.391941,-4.761644,1.778329,0.2853053,21.60414,-2.489959,-6.70996,-4.363633,-2.824315,8.270232,4.539111,-2.165382,-1.547502,7.386101,-18.74047,1.250388
-10.40284,0.5280215,-3.075044,9.437361,-0.8044187,-2.376111,-8.263201,-0.000177585,0,9.054471,-2.660782,-38.01567,9.813998,1.235882,-4.714844,-8.340472,-0.004842604,0.06255726,9.435069,-8.397438,-1.714977,2.57329,0.2185456,-2.041623,-12.01708,-1.526062,15.64411,-4.178702,-1.601078,6.441251,4.290031,-3.294665,0.2676108,-1.758028,-17.57536,-3.338416,-4.776637,1.754156,0.2859903,21.60299,-2.500662,-6.719102,-4.397925,-2.837108,8.274036,4.543468,-2.16017,-1.503241,7.392181,-18.60645,1.247881
-10.40254,0.5275502,-3.08242,9.43084,-0.8042821,-2.382199,-8.254428,-0.000163925,0,9.051259,-2.661643,-38.02264,9.810812,1.236251,-4.713057,-8.341461,-0.004835774,0.05934703,9.44015,-8.398845,-1.709606,2.580582,0.2157793,-2.050423,-12.01903,-1.528405,15.64606,-4.182403,-1.598387,6.440035,4.280845,-3.295607,0.261696,-1.649838,-17.49539,-3.30926,-4.776965,1.740571,0.2914124,21.60174,-2.505839,-6.723625,-4.413484,-2.843862,8.27722,4.546097,-2.155136,-1.492003,7.394226,-18.6058,1.248038
-10.40433,0.5294216,-3.09674,9.423875,-0.8017413,-2.392529,-8.241669,-0.000170755,0,9.047112,-2.663589,-38.03852,9.803353,1.234775,-4.715675,-8.333665,-0.004863095,0.05934703,9.444772,-8.399378,-1.693504,2.588761,0.2110733,-2.071221,-12.02705,-1.530775,15.64572,-4.183994,-1.596672,6.435459,4.253489,-3.293907,0.2556444,-1.523157,-17.40185,-3.303161,-4.755593,1.710402,0.3071049,21.59351,-2.512984,-6.731292,-4.431333,-2.858485,8.288476,4.540492,-2.145117,-1.492659,7.404329,-18.59906,1.248352
-10.4076,0.5350497,-3.114202,9.426565,-0.7967894,-2.405664,-8.241191,-0.000163925,0,9.046395,-2.6657,-38.05437,9.794243,1.230862,-4.714636,-8.316801,-0.004869925,0.06255726,9.444835,-8.397144,-1.676664,2.587853,0.2079656,-2.090502,-12.03278,-1.533132,15.64369,-4.181419,-1.599366,6.42714,4.234523,-3.296714,0.2654082,-1.188444,-17.12389,-3.260207,-4.697278,1.679352,0.3202056,21.59039,-2.520388,-6.729485,-4.435618,-2.870649,8.282104,4.524329,-2.139372,-1.492003,7.389421,-18.53754,1.240805
-10.40889,0.5382121,-3.123304,9.43061,-0.7938729,-2.410216,-8.245693,-0.000177585,0,9.047829,-2.667209,-38.0635,9.790167,1.228362,-4.715633,-8.308865,-0.004876755,0.05934703,9.443898,-8.395518,-1.665892,2.583311,0.2069889,-2.102358,-12.03526,-1.534006,15.64017,-4.176404,-1.601811,6.420842,4.227951,-3.302287,0.2668786,-1.085524,-17.03626,-3.228345,-4.654505,1.665132,0.3274564,21.5876,-2.522204,-6.726862,-4.437119,-2.875555,8.275785,4.520864,-2.138198,-1.488458,7.383151,-18.51563,1.237804
-10.41172,0.5429454,-3.144356,9.43913,-0.7900002,-2.423497,-8.253428,-0.000136604,0,9.048219,-2.669163,-38.08142,9.785546,1.225008,-4.712766,-8.298981,-0.004869925,0.06255726,9.443793,-8.392049,-1.647345,2.570093,0.2061419,-2.132215,-12.04367,-1.536772,15.62953,-4.158971,-1.613012,6.404614,4.216261,-3.307662,0.2586879,-1.106945,-17.04666,-3.226586,-4.557586,1.637927,0.3426407,21.58101,-2.527949,-6.719365,-4.443471,-2.885816,8.27099,4.527575,-2.137316,-1.475384,7.381238,-18.49588,1.235431
-10.41127,0.5469957,-3.165454,9.44396,-0.7862572,-2.435582,-8.261062,-0.000163925,0,9.049284,-2.671738,-38.10073,9.779296,1.221935,-4.705403,-8.293277,-0.004869925,0.05934703,9.44552,-8.390191,-1.634105,2.553973,0.2089355,-2.162656,-12.04932,-1.540966,15.61694,-4.138531,-1.623774,6.396916,4.205517,-3.30603,0.2272819,-1.152839,-17.03395,-3.224826,-4.460761,1.601092,0.3544303,21.57706,-2.533194,-6.712035,-4.447261,-2.900026,8.284856,4.540923,-2.133785,-1.474721,7.362633,-18.45064,1.229397
-10.40976,0.551449,-3.189605,9.4455,-0.7823709,-2.450084,-8.266218,-0.000170755,0,9.052821,-2.674272,-38.11898,9.770867,1.218745,-4.695025,-8.288303,-0.004876755,0.0656106,9.450515,-8.389426,-1.620758,2.545221,0.209557,-2.190799,-12.05333,-1.549647,15.61346,-4.129199,-1.633986,6.395462,4.202723,-3.303407,0.1897456,-1.20366,-17.00156,-3.221728,-4.387223,1.572392,0.3609945,21.57394,-2.53818,-6.714664,-4.458873,-2.910806,8.299568,4.565444,-2.125234,-1.479755,7.352179,-18.43066,1.22605
