Time (s),NeckFlEx,HeadSideTilt,NeckTors,AngleTorsoTilt,AngleTorsoSideTilt,AngleBackCurve,AngleShoulderAbAdLeft, AngleShoulderFlExLeft,UpArmRotLeft,AngleElbowLeft,AngleLowArmProSupLeft,HandFlExLeft,AngleHandRadDuctLeft,AngleLegLeft,ShoulderAbAdRight,AngleShoulderFlExRight,AngleUpArmRotRight,ElbowRight,AngleLowArmProSupRight,AngleHandFlExRight,HandRadDuctRight,LegRight
0,-153.16,-89.83479,-4.827423,-214.6963,2.365913,4.011688,-179.2738,5.44183,-0.9617281,3.758377,10.48605,-0.9946289,-12.5574,-27.40646,-190.1722,1.728104,-6.640656,6.003021,-0.006480495,-0.02813721,-6.485718,-22.41778
0,-151.1007,-89.02755,-2.22229,-214.3525,2.428589,4.014923,-177.0724,5.656379,-2.940368,3.377884,10.18456,-0.6925354,-7.139343,-25.59663,-185.9779,10.20232,-7.672546,0.1440125,-0.000830398,-0.005828857,-7.273804,-21.26156
0,-150.6618,-89.21595,-2.322174,-214.093,2.502113,4.001373,-178.2474,3.037122,-2.612854,4.433319,10.01069,-0.1815186,-1.571747,-25.19333,-187.1934,9.398376,-6.51651,1.606201,0.01617432,-0.694458,0.3474293,-21.21674
0,-150.7218,-89.42177,-2.335907,-213.8961,2.482857,4.007202,-178.4801,1.870848,-2.169446,5.828705,10.00891,0.1101782,2.151049,-24.90832,-187.8837,8.758224,-6.249084,3.053436,0.01852417,-0.6210327,0.5809917,-21.18537
0,-150.7497,-89.47868,-2.288788,-213.8304,2.473427,4.001892,-178.5839,1.634345,-1.786389,6.334656,10.02186,0.1868023,3.250276,-24.84197,-188.0695,8.555237,-6.014465,3.589981,0.005326531,-0.5246582,0.06833801,-21.20908
0,-150.769,-89.50316,-2.212952,-213.7673,2.457771,3.997406,-178.635,1.484244,-1.333289,6.746887,10.03101,0.226347,3.793583,-24.79422,-188.1863,8.404495,-5.761383,4.057724,0.005266577,-0.4752502,0.1209532,-21.23989
0,-150.7698,-89.50028,-2.088837,-213.7144,2.41304,4.005737,-178.709,1.315369,-0.7784548,7.067566,10.03174,0.2378501,3.70781,-24.76918,-188.3271,8.235489,-5.323059,4.537857,0.02084351,-0.4873962,1.023143,-21.26629
0,-150.7872,-89.5076,-1.958527,-213.7046,2.380142,3.995758,-178.791,1.235906,-0.689292,6.99678,10.02129,0.1998472,2.950232,-24.79216,-188.4231,8.12738,-5.324219,4.620117,0.02838135,-0.5155029,1.361545,-21.28851
0,-150.8313,-89.52695,-1.905396,-213.7001,2.358658,3.98349,-178.7905,1.276409,-0.8691931,6.640503,10.01128,0.1446374,2.09263,-24.82562,-188.4733,8.092758,-5.40802,4.544754,0.03051758,-0.5341492,1.410891,-21.31861
0,-150.879,-89.55648,-1.863678,-213.7115,2.343933,3.984344,-178.8146,1.457502,-1.26646,6.037766,10.00068,0.03282083,0.3544824,-24.86228,-188.4679,8.130127,-5.618744,4.354202,0.02841187,-0.5610962,1.218798,-21.33385
0,-150.9481,-89.55924,-1.822937,-213.7392,2.321396,3.981293,-178.8372,1.883567,-1.798235,5.174377,10.00497,-0.1106262,-1.196442,-24.92331,-188.3136,8.251785,-6.100494,3.975418,0.008270264,-0.5229492,0.2317549,-21.35687
0,-151,-89.55449,-1.805084,-213.7626,2.315132,3.979736,-178.8257,2.377758,-2.09334,4.637589,10.03349,-0.283905,-3.176147,-24.97592,-188.185,8.334778,-6.299469,3.742142,-0.003598144,-0.4936218,-0.417572,-21.38088
0,-151.0329,-89.552,-1.791809,-213.7974,2.315193,3.982239,-178.8,2.831445,-2.075305,4.229202,10.07447,-0.4241638,-4.781586,-25.0336,-188.0855,8.391602,-6.463074,3.618179,-0.01169153,-0.4657288,-0.9155579,-21.38019
0,-151.0472,-89.53773,-1.7771,-213.841,2.316063,3.981628,-178.7559,3.36383,-2.135345,3.821976,10.12478,-0.5506897,-6.138153,-25.10244,-188.0113,8.41272,-6.567078,3.600647,-0.01743031,-0.4361877,-1.327301,-21.39013
0,-151.046,-89.49025,-1.782532,-213.9351,2.309845,3.987122,-178.6835,4.256159,-2.084084,3.307892,10.19284,-0.6861877,-7.543854,-25.21166,-187.8687,8.381653,-6.438293,3.63588,-0.01859858,-0.4133911,-1.464508,-21.42398
0,-151.0417,-89.47633,-1.797455,-213.9966,2.299759,3.996368,-178.6583,4.634303,-2.086082,3.093079,10.22369,-0.7367859,-8.09317,-25.26109,-187.8557,8.344864,-6.335449,3.653931,-0.01843695,-0.4056396,-1.470062,-21.42455
0,-151.038,-89.46062,-1.81546,-214.0857,2.287895,4.003754,-178.647,5.07138,-2.070444,2.937775,10.25657,-0.7872314,-8.651642,-25.32676,-187.845,8.303925,-6.164795,3.671295,-0.0186741,-0.393219,-1.521759,-21.43616
0,-151.038,-89.46017,-1.82782,-214.1732,2.280785,4.006439,-178.64,5.336159,-2.095616,2.862259,10.2682,-0.8049011,-8.83493,-25.36515,-187.8406,8.267761,-6.078796,3.687332,-0.01990028,-0.3807068,-1.65506,-21.47444
0,-151.0524,-89.48202,-1.818848,-214.3008,2.273849,4.028168,-178.5738,5.54627,-2.315821,2.907639,10.25229,-0.7839355,-8.544647,-25.35786,-187.7794,8.260742,-6.098206,3.707184,-0.02345285,-0.3502808,-2.06366,-21.47904
0,-151.084,-89.49106,-1.787079,-214.3658,2.267632,4.044403,-178.6638,5.512956,-2.420027,2.994019,10.22481,-0.7440796,-8.043518,-25.34841,-187.6865,8.271591,-6.175964,3.718201,-0.02639581,-0.3199158,-2.49942,-21.49461
0,-151.1441,-89.49469,-1.759705,-214.4215,2.258133,4.057953,-178.888,5.358841,-2.383485,3.113754,10.19203,-0.6920776,-7.447479,-25.35356,-187.6236,8.276443,-6.188293,3.727203,-0.02797038,-0.2943115,-2.832611,-21.5093
0,-151.2163,-89.49985,-1.749786,-214.4585,2.248032,4.072113,-179.0963,5.131219,-2.394844,3.248245,10.161,-0.6356201,-6.825562,-25.35962,-187.618,8.275665,-6.161621,3.733749,-0.02803397,-0.2848816,-2.930817,-21.5316
0,-151.3327,-89.51373,-1.731781,-214.5008,2.240494,4.091919,-179.4776,4.602152,-2.467437,3.48555,10.10081,-0.5034485,-5.430511,-25.3869,-187.5771,8.286697,-6.004517,3.739883,-0.02670106,-0.2904053,-2.748322,-21.53294
0,-151.401,-89.50568,-1.733734,-214.496,2.236832,4.087341,-179.6699,4.226607,-2.497168,3.66095,10.07078,-0.4234314,-4.537292,-25.40782,-187.5056,8.296036,-5.92981,3.741669,-0.02570291,-0.2971191,-2.594971,-21.55914
0,-151.4396,-89.50053,-1.739716,-214.482,2.234344,4.089355,-179.8174,3.879947,-2.54482,3.840424,10.04398,-0.3361816,-3.552094,-25.41994,-187.4935,8.303101,-5.835571,3.741455,-0.02447774,-0.3082275,-2.401428,-21.55829
0,-151.4462,-89.49638,-1.746277,-214.4585,2.23391,4.098755,-179.9697,3.468087,-2.508379,4.032593,10.01911,-0.2266846,-2.282379,-25.41887,-187.5113,8.316879,-5.731201,3.738998,-0.02282965,-0.324646,-2.155121,-21.5782
0,-151.4569,-89.49339,-1.751801,-214.4089,2.238899,4.097717,-180.1318,3.005764,-2.45692,4.290588,10.00599,-0.136261,-1.188232,-25.41591,-187.5135,8.344452,-5.781158,3.732071,-0.02235329,-0.3342285,-2.052032,-21.59608
0,-151.4633,-89.50096,-1.765656,-214.3655,2.24778,4.094635,-180.2168,2.671371,-2.453131,4.457993,10.00218,-0.09069824,-0.6083069,-25.40841,-187.5346,8.369995,-5.779327,3.724579,-0.02149339,-0.3442688,-1.929413,-21.62734
0,-151.4587,-89.51952,-1.78949,-214.3313,2.256653,4.0979,-180.2881,2.387943,-2.388695,4.606918,10.00025,-0.04730225,-0.06765747,-25.40792,-187.5438,8.405472,-5.746094,3.715042,-0.02004843,-0.3509827,-1.78125,-21.61854
0,-151.4511,-89.52833,-1.815735,-214.2984,2.259323,4.1073,-180.3735,2.199803,-2.368037,4.730179,9.999597,-0.02655029,0.5012206,-25.40931,-187.4927,8.45105,-5.809753,3.703751,-0.01997933,-0.349762,-1.784668,-21.61724
0,-151.448,-89.53205,-1.84201,-214.2346,2.256157,4.119141,-180.548,2.038937,-2.233438,4.859497,10.00036,0.01780296,0.5213374,-25.41299,-187.3442,8.498886,-5.812775,3.684082,-0.01902918,-0.3612061,-1.656677,-21.60935
0,-151.4609,-89.54748,-1.850891,-214.1968,2.264977,4.127625,-180.5224,2.010421,-2.200595,4.90892,10.00023,0.0117256,0.473111,-25.4364,-187.3337,8.511459,-5.745667,3.667938,-0.01842768,-0.3733215,-1.569916,-21.58774
0,-151.4957,-89.57951,-1.863068,-214.1616,2.272629,4.131165,-180.3126,2.043635,-2.145107,4.918686,9.999757,-0.01864624,0.4434995,-25.48269,-187.3728,8.514069,-5.752045,3.649155,-0.01838487,-0.3781128,-1.553772,-21.56744
0,-151.5392,-89.62106,-1.870575,-214.1346,2.275169,4.133484,-180.1382,2.120526,-2.177589,4.880569,10.00006,-0.03521729,0.01634505,-25.53433,-187.4206,8.510895,-5.775665,3.628067,-0.01835692,-0.3774719,-1.549774,-21.5511
0,-151.565,-89.66087,-1.867126,-214.1162,2.270287,4.136627,-180.0984,2.275721,-2.179603,4.73172,10.00148,-0.07199097,-0.5441284,-25.57487,-187.382,8.524033,-5.76767,3.594345,-0.01674234,-0.3854065,-1.402496,-21.52692
0,-151.5623,-89.67858,-1.87793,-214.1148,2.268661,4.143372,-180.0177,2.469182,-2.136433,4.507965,10.00732,-0.1372986,-1.450165,-25.59266,-187.3442,8.551758,-5.697235,3.55957,-0.01613503,-0.3905029,-1.346558,-21.53266
0,-151.5553,-89.6837,-1.889404,-214.122,2.272568,4.146698,-179.9944,2.58528,-2.149141,4.344559,10.01263,-0.1782532,-1.944427,-25.61428,-187.361,8.558197,-5.718201,3.535797,-0.01768074,-0.3796082,-1.49411,-21.51543
0,-151.5418,-89.69852,-1.909363,-214.1512,2.286491,4.149445,-179.9565,2.769232,-2.169336,4.125778,10.02102,-0.2283936,-2.525787,-25.67797,-187.3963,8.559906,-5.710144,3.495087,-0.01944447,-0.3629761,-1.680267,-21.51598
0,-151.5291,-89.7481,-1.914368,-214.207,2.318489,4.16568,-179.9041,2.987472,-2.119665,3.954086,10.03467,-0.2906494,-3.283112,-25.77416,-187.3388,8.610703,-5.675751,3.450089,-0.02061877,-0.3522644,-1.818146,-21.52119
0,-151.5249,-89.80615,-1.883179,-214.2824,2.385887,4.169189,-179.8405,3.255339,-2.126778,3.772934,10.05126,-0.351532,-3.993134,-25.91522,-187.1972,8.686798,-5.663818,3.377075,-0.02295398,-0.3276367,-2.144012,-21.51916
0,-151.5191,-89.84431,-1.849152,-214.3467,2.432816,4.171356,-179.8279,3.395921,-2.134105,3.69516,10.05654,-0.369751,-4.191162,-26.01986,-187.2115,8.706238,-5.624146,3.326538,-0.02452428,-0.3040161,-2.438477,-21.541
0,-151.4848,-89.89158,-1.808899,-214.4386,2.476707,4.195618,-179.8302,3.5442,-2.079391,3.642075,10.06169,-0.3858643,-4.388855,-26.14993,-187.2511,8.735443,-5.650543,3.270752,-0.02584303,-0.2687073,-2.857239,-21.5505
0,-151.4415,-89.92236,-1.779175,-214.5115,2.495804,4.223358,-179.8488,3.646475,-2.098296,3.616776,10.06501,-0.394104,-4.511383,-26.23866,-187.2622,8.755096,-5.652924,3.215942,-0.02585373,-0.2399292,-3.198395,-21.56427
0,-151.4044,-89.95922,-1.74762,-214.629,2.517235,4.276154,-179.9293,3.730404,-2.070425,3.613785,10.06546,-0.3922119,-4.574677,-26.26807,-187.2619,8.804779,-5.647095,3.157028,-0.02498683,-0.1972046,-3.702972,-21.56383
0,-151.4158,-90.00958,-1.765076,-214.7637,2.50235,4.343475,-180.1511,3.800194,-2.087881,3.647125,10.05903,-0.3717346,-4.329376,-26.22122,-187.3413,8.798035,-5.520569,3.072113,-0.02276802,-0.1630249,-4.054565,-21.63858
0,-151.4689,-90.06583,-1.763947,-214.8391,2.499275,4.378967,-180.2979,3.808583,-2.158883,3.687531,10.04952,-0.3425293,-3.965759,-26.23282,-187.3532,8.800354,-5.416504,3.019211,-0.02137099,-0.1470642,-4.193024,-21.68589
